Taxon	B1.4.A	B1.4.Ce	B1.4.DC	B1.4.IL	B1.4.MC	B1.4.PC	B2.3.A	B2.3.Ce	B2.3.DC	B2.3.IL	B2.3.MC	B2.3.PC	B3.2.A	B3.2.Ce	B3.2.DC	B3.2.IL	B3.2.MC	B3.2.PC
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Other	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102406554019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102406554019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Roseateles	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153609831029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00307219662058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153609831029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102406554019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00216606498195	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000514933058702	0.0018315018315	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	0.0	0.0	0.0	0.00180701120347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.0	0.0	0.0	0.00216841344416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00307219662058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
